loan_id,received_date,origination_year,loss_amount,loss_rank,positive_loss_loan_count,cumulative_positive_loss_loan_count,cumulative_positive_loss_loan_share,portfolio_positive_loss_amount,cumulative_positive_loss_amount,cumulative_positive_loss_share
LRQ-729818,2023-10-04,2023,440332.44,1,2232,1,0.00044802867383512545,68905381.05,440332.44,0.00639039264118546
LRQ-342473,2022-07-06,2022,435340.45,2,2232,2,0.0008960573476702509,68905381.05,875672.89,0.01270833825539087
LRQ-237478,2025-05-24,2025,336680.73,3,2232,3,0.0013440860215053765,68905381.05,1212353.62,0.017594469423516817
LRQ-371348,2024-12-28,2024,321281.48,4,2232,4,0.0017921146953405018,68905381.05,1533635.10,0.02225711659423441
LRQ-642522,2025-09-29,2025,253000.00,5,2232,5,0.002240143369175627,68905381.05,1786635.10,0.025928818225438143
LRQ-256468,2020-06-19,2020,240845.64,6,2232,6,0.002688172043010753,68905381.05,2027480.74,0.02942412782724173
LRQ-473258,2020-06-19,2020,240845.64,7,2232,7,0.0031362007168458782,68905381.05,2268326.38,0.032919437429045316
LRQ-713149,2020-06-19,2020,240845.64,8,2232,8,0.0035842293906810036,68905381.05,2509172.02,0.03641474703084891
LRQ-365972,2023-11-24,2023,220793.49,9,2232,9,0.004032258064516129,68905381.05,2729965.51,0.03961904670433573
LRQ-453809,2023-11-24,2023,220793.49,10,2232,10,0.004480286738351254,68905381.05,2950759.00,0.04282334637782255
LRQ-437577,2024-12-06,2024,215495.72,11,2232,11,0.00492831541218638,68905381.05,3166254.72,0.0459507613447847
LRQ-234548,2024-08-31,2024,210496.00,12,2232,12,0.005376344086021506,68905381.05,3376750.72,0.04900561710194621
LRQ-410811,2024-02-19,2024,202644.83,13,2232,13,0.005824372759856631,68905381.05,3579395.55,0.051946531540151754
LRQ-448258,2020-04-18,2020,200612.50,14,2232,14,0.0062724014336917565,68905381.05,3780008.05,0.05485795147489428
LRQ-255119,2022-05-22,2022,195976.34,15,2232,15,0.006720430107526882,68905381.05,3975984.39,0.05770208842056756
