origination_year_quarter_key,origination_year,origination_quarter_number,origination_quarter_name,origination_quarter_start,funded_loan_count,loss_loan_count,observed_loss_rate,total_recorded_loss_amount,total_positive_loss_amount,average_loss_per_funded_loan,average_loss_severity,median_loss_severity
2018-Q2,2018,2,Q2,2018-04-01,172,24,0.13953488372093023,855718.95,872622.10,4975.110174418604,27510.0225,17794.59
2018-Q3,2018,3,Q3,2018-07-01,372,59,0.1586021505376344,2074105.19,2086292.45,5575.5515860215055,29107.35694915254,16355.76
2018-Q4,2018,4,Q4,2018-10-01,246,36,0.14634146341463414,1542663.64,1543473.04,6270.990406504065,32637.24638888889,20510.85
2019-Q1,2019,1,Q1,2019-01-01,282,59,0.20921985815602837,2079279.74,2083490.10,7373.332411347517,32661.05711864407,19380.90
2019-Q2,2019,2,Q2,2019-04-01,232,34,0.14655172413793102,838876.59,838876.61,3615.8473706896552,23713.926470588234,11586.96
2019-Q3,2019,3,Q3,2019-07-01,215,32,0.14883720930232558,666443.98,666443.98,3099.739441860465,20395.375625,16076.81
2019-Q4,2019,4,Q4,2019-10-01,197,34,0.17258883248730963,1171590.78,1171590.78,5947.161319796955,29364.80205882353,13773.18
2020-Q1,2020,1,Q1,2020-01-01,168,38,0.2261904761904762,764536.66,764536.70,4550.813452380952,18640.360789473685,13137.45
2020-Q2,2020,2,Q2,2020-04-01,206,28,0.13592233009708737,1603743.31,1608131.58,7785.161699029126,55924.766071428574,16270.85
2020-Q3,2020,3,Q3,2020-07-01,238,43,0.18067226890756302,1775873.85,1775873.85,7461.654831932773,36351.187906976746,25867.11
2020-Q4,2020,4,Q4,2020-10-01,194,24,0.12371134020618557,1014010.94,1014010.94,5226.860515463917,39834.35791666667,18504.02
2021-Q1,2021,1,Q1,2021-01-01,152,20,0.13157894736842105,699451.93,699451.93,4601.657434210526,29077.671,19196.11
2022-Q1,2022,1,Q1,2022-01-01,67,6,0.08955223880597014,215856.12,215856.18,3221.733134328358,35976.03,20040.25
2022-Q2,2022,2,Q2,2022-04-01,471,94,0.19957537154989385,3405760.90,3407884.38,7230.914861995754,36254.08914893617,23679.34
2022-Q3,2022,3,Q3,2022-07-01,611,103,0.1685761047463175,3237505.59,3240089.63,5298.699819967267,31457.18087378641,21834.18
2022-Q4,2022,4,Q4,2022-10-01,540,112,0.2074074074074074,2995832.13,3005494.85,5547.837277777778,26834.77544642857,21627.25
2023-Q1,2023,1,Q1,2023-01-01,559,115,0.20572450805008943,2808432.28,2813326.00,5024.029123434705,24463.704347826086,21902.92
2023-Q2,2023,2,Q2,2023-04-01,564,142,0.25177304964539005,4689118.30,4700867.16,8314.039539007092,33104.69830985915,22793.24
2023-Q3,2023,3,Q3,2023-07-01,657,207,0.3150684931506849,5022859.61,5051572.12,7645.14400304414,24403.73004830918,16063.20
2023-Q4,2023,4,Q4,2023-10-01,672,191,0.28422619047619047,5346148.95,5380255.25,7955.578794642857,28154.782041884817,16262.64
2024-Q1,2024,1,Q1,2024-01-01,377,85,0.22546419098143236,2390808.73,2390808.73,6341.667718832891,28127.161529411766,24711.60
2024-Q2,2024,2,Q2,2024-04-01,418,80,0.19138755980861244,2938640.95,2945228.73,7030.241507177034,35903.77525,16267.80
2024-Q3,2024,3,Q3,2024-07-01,427,90,0.2107728337236534,2919157.68,2927268.02,6836.4348477751755,32346.636444444444,20313.60
2024-Q4,2024,4,Q4,2024-10-01,490,113,0.23061224489795917,4236182.94,4251065.66,8645.27130612245,37541.04424778761,20188.87
2025-Q1,2025,1,Q1,2025-01-01,464,116,0.25,4100468.44,4185293.85,8837.216465517242,36059.12431034483,21382.92
2025-Q2,2025,2,Q2,2025-04-01,492,118,0.23983739837398374,4484869.13,4567298.84,9115.587662601625,38686.60313559322,26212.95
2025-Q3,2025,3,Q3,2025-07-01,281,66,0.23487544483985764,2474942.89,2482105.95,8807.625943060499,36988.286060606064,25148.07
2025-Q4,2025,4,Q4,2025-10-01,236,50,0.211864406779661,2177561.47,2216171.64,9226.955381355932,43966.2336,32029.79
