feature_name,segment,funded_loan_count,loss_loan_count,positive_loss_loan_count,observed_loss_rate,portfolio_loan_share,total_recorded_loss_amount,total_positive_loss_amount,portfolio_positive_loss_share,average_loss_per_funded_loan,average_positive_loss_severity,median_positive_loss_severity,maximum_positive_loss_amount,portfolio_loss_rate,loss_rate_difference_pp,is_material_segment,risk_band
feat_001,IND_210,3,3,3,1.0,0.0003,36601.40,36601.40,0.0005311834785942309,12200.466666666667,12200.466666666667,14779.14,14779.14,0.2119,78.81,false,Insufficient sample
feat_001,IND_076,3,3,3,1.0,0.0003,13399.44,13399.44,0.0001944614454751644,4466.48,4466.48,3134.72,7130.00,0.2119,78.81,false,Insufficient sample
feat_001,IND_123,2,2,2,1.0,0.0002,24748.70,24748.70,0.00035916933660147,12374.35,12374.35,12374.35,12374.35,0.2119,78.81,false,Insufficient sample
feat_001,IND_093,2,2,2,1.0,0.0002,115664.54,115664.54,0.0016785995264443864,57832.27,57832.27,57832.27,57832.27,0.2119,78.81,false,Insufficient sample
feat_001,IND_203,2,2,2,1.0,0.0002,87135.34,87135.34,0.0012645650988675579,43567.67,43567.67,43567.67,43567.67,0.2119,78.81,false,Insufficient sample
feat_001,IND_070,2,2,2,1.0,0.0002,51970.80,51970.80,0.0007542342732607238,25985.4,25985.4,25985.40,25985.40,0.2119,78.81,false,Insufficient sample
feat_001,IND_086,2,2,2,1.0,0.0002,320145.28,320145.28,0.004646157892482913,160072.64,160072.64,160072.64,160072.64,0.2119,78.81,false,Insufficient sample
feat_001,IND_056,2,2,0,1.0,0.0002,0.00,0.00,0.0,0.0,,,,0.2119,78.81,false,Insufficient sample
feat_001,IND_168,2,2,2,1.0,0.0002,15008.48,15008.48,0.00021781288734343339,7504.24,7504.24,7504.24,7504.24,0.2119,78.81,false,Insufficient sample
feat_001,IND_036,2,2,2,1.0,0.0002,60352.00,60352.00,0.0008758677345707821,30176.0,30176.0,30176.00,30176.00,0.2119,78.81,false,Insufficient sample
feat_001,IND_190,2,2,2,1.0,0.0002,35764.56,35764.56,0.0005190387086612011,17882.28,17882.28,17882.28,17882.28,0.2119,78.81,false,Insufficient sample
feat_001,IND_075,1,1,1,1.0,0.0001,16962.50,16962.50,0.0002461709048193414,16962.5,16962.5,16962.50,16962.50,0.2119,78.81,false,Insufficient sample
feat_001,IND_091,1,1,1,1.0,0.0001,79978.42,79978.42,0.001160699190415405,79978.42,79978.42,79978.42,79978.42,0.2119,78.81,false,Insufficient sample
feat_001,IND_073,1,1,1,1.0,0.0001,46765.33,46765.33,0.0006786890847619803,46765.33,46765.33,46765.33,46765.33,0.2119,78.81,false,Insufficient sample
feat_001,IND_134,1,1,1,1.0,0.0001,19056.57,19056.57,0.00027656141958161336,19056.57,19056.57,19056.57,19056.57,0.2119,78.81,false,Insufficient sample
feat_001,IND_172,1,1,1,1.0,0.0001,64778.65,64778.65,0.0009401101773603791,64778.65,64778.65,64778.65,64778.65,0.2119,78.81,false,Insufficient sample
feat_001,IND_174,1,1,1,1.0,0.0001,21014.24,21014.24,0.0003049724082470625,21014.24,21014.24,21014.24,21014.24,0.2119,78.81,false,Insufficient sample
feat_001,IND_113,7,6,6,0.8571428571428571,0.0007,250961.39,250961.39,0.0036421159882693956,35851.62714285714,41826.89833333333,32654.49,69087.86,0.2119,64.52428571428571,false,Insufficient sample
feat_001,IND_049,5,4,4,0.8,0.0005,129943.49,129943.49,0.001885824996827298,25988.698,32485.8725,30820.35,48401.66,0.2119,58.81000000000001,false,Insufficient sample
feat_001,IND_017,4,3,3,0.75,0.0004,29977.57,29977.57,0.00043505412121946316,7494.3925,9992.523333333333,1957.63,26062.31,0.2119,53.81,false,Insufficient sample
feat_001,IND_227,3,2,2,0.6666666666666666,0.0003,37279.35,37279.35,0.0005410223328269367,12426.45,18639.675,18639.67,26476.86,0.2119,45.47666666666667,false,Insufficient sample
feat_001,IND_228,3,2,2,0.6666666666666666,0.0003,52597.08,52597.08,0.0007633232586266933,17532.36,26298.54,26298.54,49341.18,0.2119,45.47666666666667,false,Insufficient sample
feat_001,IND_011,3,2,2,0.6666666666666666,0.0003,45006.92,45006.92,0.0006531698876658342,15002.306666666667,22503.46,22503.46,22503.46,0.2119,45.47666666666667,false,Insufficient sample
feat_001,IND_164,13,8,8,0.6153846153846154,0.0013,172922.32,172922.32,0.002509561914685907,13301.716923076923,21615.29,26578.52,35448.43,0.2119,40.34846153846154,false,Insufficient sample
feat_001,IND_010,10,6,6,0.6,0.001,108200.82,108200.82,0.0015702811355398493,10820.082,18033.47,18285.31,31894.78,0.2119,38.81,false,Insufficient sample
feat_001,IND_122,7,4,4,0.5714285714285714,0.0007,106480.84,106480.84,0.0015453196597626246,15211.548571428571,26620.21,22540.88,49294.59,0.2119,35.95285714285714,false,Insufficient sample
feat_001,IND_068,19,10,10,0.5263157894736842,0.0019,274979.51,275218.58,0.003994152209974609,14472.605789473684,27521.858,27323.79,55492.03,0.2119,31.44157894736842,false,Insufficient sample
feat_001,IND_131,12,6,6,0.5,0.0012,110702.92,110702.92,0.0016065932487866273,9225.243333333334,18450.486666666668,17818.19,30536.81,0.2119,28.810000000000002,false,Insufficient sample
feat_001,IND_114,10,5,5,0.5,0.001,77404.92,77404.92,0.0011233508736252754,7740.492,15480.984,11586.96,32788.74,0.2119,28.810000000000002,false,Insufficient sample
feat_001,IND_225,8,4,5,0.5,0.0008,133394.71,133394.71,0.0019359113608733174,16674.33875,26678.942,26890.83,49730.49,0.2119,28.810000000000002,false,Insufficient sample
feat_001,IND_088,4,2,2,0.5,0.0004,62633.12,63042.08,0.0009149079366421993,15658.28,31521.04,31521.04,31521.04,0.2119,28.810000000000002,false,Insufficient sample
feat_001,IND_142,2,1,1,0.5,0.0002,16560.00,16560.00,0.00024032956131515363,8280.0,16560.0,16560.00,16560.00,0.2119,28.810000000000002,false,Insufficient sample
feat_001,IND_188,2,1,1,0.5,0.0002,43152.43,43152.43,0.0006262563147091108,21576.215,43152.43,43152.43,43152.43,0.2119,28.810000000000002,false,Insufficient sample
feat_001,IND_215,2,1,1,0.5,0.0002,19814.87,19814.87,0.0002875663656169564,9907.435,19814.87,19814.87,19814.87,0.2119,28.810000000000002,false,Insufficient sample
feat_001,IND_079,2,1,1,0.5,0.0002,6286.67,6286.67,9.12362707266387e-05,3143.335,6286.67,6286.67,6286.67,0.2119,28.810000000000002,false,Insufficient sample
feat_001,IND_169,2,1,1,0.5,0.0002,6091.38,6091.38,8.84020943963708e-05,3045.69,6091.38,6091.38,6091.38,0.2119,28.810000000000002,false,Insufficient sample
feat_001,IND_145,60,24,24,0.4,0.006,778936.75,778936.77,0.011304440351832291,12982.279166666667,32455.69875,27960.03,90060.24,0.2119,18.810000000000002,false,Insufficient sample
feat_001,IND_141,10,4,4,0.4,0.001,84931.83,85980.36,0.0012478032729781995,8493.183,21495.09,18351.09,30927.09,0.2119,18.810000000000002,false,Insufficient sample
feat_001,IND_222,16,6,8,0.375,0.0016,360108.90,360108.90,0.005226136108857641,22506.80625,45013.6125,39299.99,102524.80,0.2119,16.31,false,Insufficient sample
feat_001,IND_130,11,4,4,0.36363636363636365,0.0011,82397.99,82397.99,0.0011958135742723682,7490.726363636363,20599.4975,18040.71,36228.22,0.2119,15.173636363636364,false,Insufficient sample
